?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/WBbt_0001541>	"nucleus of pedigree ABprapppapa"	
<http://purl.obolibrary.org/obo/WBbt_0002738>	"nucleus of pedigree ABarapppapa"	
<http://purl.obolibrary.org/obo/WBbt_0006940>	"Precursor of cells that form male sensory ray 9."	
<http://purl.obolibrary.org/obo/WBbt_0005503>		
<http://purl.obolibrary.org/obo/WBbt_0004904>	"Seam hypodermal cell, postembryonic blast cell"	
<http://purl.obolibrary.org/obo/WBbt_0002424>	"nucleus of pedigree MSpppaaa"	
<http://purl.obolibrary.org/obo/WBbt_0005636>		
<http://purl.obolibrary.org/obo/WBbt_0001523>	"nucleus of pedigree ABprapapp"	
<http://purl.obolibrary.org/obo/WBbt_0005502>		
<http://purl.obolibrary.org/obo/WBbt_0001318>	"nucleus of pedigree ABplaaaa"	
<http://purl.obolibrary.org/obo/WBbt_0007655>	"post-embryonic cell of pedigree Z1.ppapa"	
<http://purl.obolibrary.org/obo/WBbt_0006692>	"embryonic cell"	
<http://purl.obolibrary.org/obo/WBbt_0008555>	"Post-embryonic cell of pedigree Z1.papaaa in hermaphrodite."	
<http://purl.obolibrary.org/obo/WBbt_0002227>	"nucleus of pedigree M.vrpaa"	
<http://purl.obolibrary.org/obo/WBbt_0006913>	"post-embryonic seam cells that make alae, hermaphrodite."	
<http://purl.obolibrary.org/obo/WBbt_0004850>	"Vulval muscle 1, of lineage M.vrpaaapp."	
<http://purl.obolibrary.org/obo/WBbt_0003247>	"nucleus of pedigree MSpapappp"	
<http://purl.obolibrary.org/obo/WBbt_0005634>		
<http://purl.obolibrary.org/obo/WBbt_0003980>		
<http://purl.obolibrary.org/obo/WBbt_0008130>		
<http://purl.obolibrary.org/obo/WBbt_0008620>	"AMsoL cell in male animal."	
<http://purl.obolibrary.org/obo/WBbt_0001519>	"nucleus of pedigree ABprapap"	
<http://purl.obolibrary.org/obo/WBbt_0004905>	"Seam hypodermal cell, postembryonic blast cell"	
<http://purl.obolibrary.org/obo/WBbt_0008375>	"cytoplamic ring that surrounds the anterior of the buccal cavity."	
<http://purl.obolibrary.org/obo/WBbt_0005501>		
<http://purl.obolibrary.org/obo/WBbt_0005635>		
<http://purl.obolibrary.org/obo/WBbt_0004852>	"Vulval muscle 2, of lineage M.vlpaapap."	
<http://purl.obolibrary.org/obo/WBbt_0001818>	"nucleus of pedigree Cappapa"	
<http://purl.obolibrary.org/obo/WBbt_0002434>	"nucleus of pedigree MSpppppp"	
<http://purl.obolibrary.org/obo/WBbt_0007073>	"post-embryonic cell of pedigree B.pp"	
